======================================================================
TAA-PINN TRAINING
======================================================================

Experiment: AS6
Description: 6cm Axisymmetric TAA — data-driven RANS with physics regularization
Geometry: AS6
Device: cuda
Output directory: experiments/AS6

Non-Newtonian viscosity: Carreau-Yasuda
  mu_inf=0.0035, mu_0=0.16, lambda=8.2, n=0.2128, a=0.64
Optimizer strategy: adaptive weights

----------------------------------------------------------------------
LOADING DATA (non-dimensional)
----------------------------------------------------------------------

  Non-dimensional reference scales:
    L_ref         = 0.0500 m
    U_ref         = 0.4373 m/s  (from max|p|=202.67 Pa)
    P_ref         = 202.67 Pa  (= rho * U_ref^2)
    tau_ref       = 0.030608 Pa  (= mu * U_ref / L_ref)
    Re            = 6621.4
    rho           = 1060.0 kg/m^3
    mu            = 0.003500 Pa.s
    coord_scale   = 1.3254  (normalises coords to [-1,1])
    wss_std       = 18.2155  (standardises WSS to O(1))
    pressure_std  = 0.4828  (standardises pressure to O(1))

Loading systolic: 6cm systolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 1.0

Loading diastolic: 6cm diastolic.csv
Computing wall normals...
Sampling interior collocation points...
  Wall points: 24655
  Interior points: 6000
  Normals computed: torch.Size([24655, 3])
  Phase encoding: 0.0
  Inlet cross-section: 73 points, radius=10.0 mm
  Outlet cross-section: 73 points, radius=10.0 mm
  Axial direction: X
  Inlet velocity (physical): systolic=0.5 m/s, diastolic=0.1 m/s

Data loading complete!

----------------------------------------------------------------------
INITIALIZING NETWORKS
----------------------------------------------------------------------
  Net_u: 202,497 parameters
  Net_v: 202,497 parameters
  Net_w: 202,497 parameters
  Net_p: 202,497 parameters
  Net_nut: 35,457 parameters
  Total: 845,445 parameters

----------------------------------------------------------------------
INITIALIZING OPTIMIZERS
----------------------------------------------------------------------
Learning rate (flow): 0.0001
Learning rate (nut):  0.001 (10.0x)
Optimizer (flow): AdamW — 809,988 parameters
Optimizer (nut):  AdamW — 35,457 parameters
Scheduler: CosineAnnealingLR
Mixed precision (AMP): disabled

Initialization complete!

======================================================================
STARTING TRAINING
======================================================================
Total epochs: 10000
Evaluate interval: 1000
Save interval: 2500
Early stopping: patience=3000, min_delta=1e-06

Training:   0%|          | 0/10000 [00:00<?, ?epoch/s]/home/olarinoyem/miniconda3/envs/deep_tf/lib/python3.11/site-packages/torch/autograd/graph.py:825: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at ../aten/src/ATen/cuda/CublasHandlePool.cpp:135.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass

Training:   0%|          | 0/10000 [00:01<?, ?epoch/s, loss=1.278e+04, lr=0.0001]
Training:   0%|          | 1/10000 [00:01<4:52:32,  1.76s/epoch, loss=1.278e+04, lr=0.0001]
Training:   0%|          | 1/10000 [00:03<4:52:32,  1.76s/epoch, loss=5944, lr=0.0001]     
Training:   0%|          | 2/10000 [00:03<4:13:11,  1.52s/epoch, loss=5944, lr=0.0001]
Training:   0%|          | 2/10000 [00:04<4:13:11,  1.52s/epoch, loss=4065, lr=0.0001]
Training:   0%|          | 3/10000 [00:04<4:02:54,  1.46s/epoch, loss=4065, lr=0.0001]
Training:   0%|          | 3/10000 [00:05<4:02:54,  1.46s/epoch, loss=3332, lr=0.0001]
Training:   0%|          | 4/10000 [00:05<3:56:33,  1.42s/epoch, loss=3332, lr=0.0001]
Training:   0%|          | 4/10000 [00:07<3:56:33,  1.42s/epoch, loss=2651, lr=0.0001]
Training:   0%|          | 5/10000 [00:07<3:53:33,  1.40s/epoch, loss=2651, lr=0.0001]
Training:   0%|          | 5/10000 [00:08<3:53:33,  1.40s/epoch, loss=2091, lr=0.0001]
Training:   0%|          | 6/10000 [00:08<3:55:51,  1.42s/epoch, loss=2091, lr=0.0001]
Training:   0%|          | 6/10000 [00:09<3:55:51,  1.42s/epoch, loss=1683, lr=0.0001]
Training:   0%|          | 7/10000 [00:10<3:52:49,  1.40s/epoch, loss=1683, lr=0.0001]
Training:   0%|          | 7/10000 [00:11<3:52:49,  1.40s/epoch, loss=1445, lr=0.0001]
Training:   0%|          | 8/10000 [00:11<3:52:08,  1.39s/epoch, loss=1445, lr=0.0001]
Training:   0%|          | 8/10000 [00:12<3:52:08,  1.39s/epoch, loss=1218, lr=0.0001]
Training:   0%|          | 9/10000 [00:12<3:54:49,  1.41s/epoch, loss=1218, lr=0.0001]
Training:   0%|          | 9/10000 [00:14<3:54:49,  1.41s/epoch, loss=1023, lr=0.0001]
Training:   0%|          | 10/10000 [00:14<3:57:22,  1.43s/epoch, loss=1023, lr=0.0001]
Training:   0%|          | 10/10000 [00:15<3:57:22,  1.43s/epoch, loss=887.6, lr=0.0001]
Training:   0%|          | 11/10000 [00:15<3:55:29,  1.41s/epoch, loss=887.6, lr=0.0001]
Training:   0%|          | 11/10000 [00:17<3:55:29,  1.41s/epoch, loss=747.2, lr=0.0001]
Training:   0%|          | 12/10000 [00:17<3:55:50,  1.42s/epoch, loss=747.2, lr=0.0001]
Training:   0%|          | 12/10000 [00:18<3:55:50,  1.42s/epoch, loss=644.9, lr=0.0001]
Training:   0%|          | 13/10000 [00:18<3:55:00,  1.41s/epoch, loss=644.9, lr=0.0001]
Training:   0%|          | 13/10000 [00:19<3:55:00,  1.41s/epoch, loss=578.9, lr=0.0001]
Training:   0%|          | 14/10000 [00:19<3:54:26,  1.41s/epoch, loss=578.9, lr=0.0001]
Training:   0%|          | 14/10000 [00:21<3:54:26,  1.41s/epoch, loss=504.9, lr=0.0001]
Training:   0%|          | 15/10000 [00:21<3:54:00,  1.41s/epoch, loss=504.9, lr=0.0001]
Training:   0%|          | 15/10000 [00:22<3:54:00,  1.41s/epoch, loss=445.8, lr=0.0001]
Training:   0%|          | 16/10000 [00:22<3:54:32,  1.41s/epoch, loss=445.8, lr=0.0001]
Training:   0%|          | 16/10000 [00:24<3:54:32,  1.41s/epoch, loss=392.6, lr=0.0001]
Training:   0%|          | 17/10000 [00:24<3:53:17,  1.40s/epoch, loss=392.6, lr=0.0001]
Training:   0%|          | 17/10000 [00:25<3:53:17,  1.40s/epoch, loss=362.1, lr=0.0001]
Training:   0%|          | 18/10000 [00:25<3:52:40,  1.40s/epoch, loss=362.1, lr=0.0001]
Training:   0%|          | 18/10000 [00:26<3:52:40,  1.40s/epoch, loss=319.1, lr=0.0001]
Training:   0%|          | 19/10000 [00:26<3:53:18,  1.40s/epoch, loss=319.1, lr=0.0001]
Training:   0%|          | 19/10000 [00:28<3:53:18,  1.40s/epoch, loss=299.2, lr=0.0001]
Training:   0%|          | 20/10000 [00:28<3:52:05,  1.40s/epoch, loss=299.2, lr=0.0001]
Training:   0%|          | 20/10000 [00:29<3:52:05,  1.40s/epoch, loss=265.8, lr=0.0001]
Training:   0%|          | 21/10000 [00:29<3:53:40,  1.40s/epoch, loss=265.8, lr=0.0001]
Training:   0%|          | 21/10000 [00:31<3:53:40,  1.40s/epoch, loss=248.2, lr=0.0001]
Training:   0%|          | 22/10000 [00:31<3:53:19,  1.40s/epoch, loss=248.2, lr=0.0001]
Training:   0%|          | 22/10000 [00:32<3:53:19,  1.40s/epoch, loss=225, lr=0.0001]  
Training:   0%|          | 23/10000 [00:32<3:53:52,  1.41s/epoch, loss=225, lr=0.0001]
Training:   0%|          | 23/10000 [00:33<3:53:52,  1.41s/epoch, loss=204.7, lr=0.0001]
Training:   0%|          | 24/10000 [00:33<3:54:32,  1.41s/epoch, loss=204.7, lr=0.0001]
Training:   0%|          | 24/10000 [00:35<3:54:32,  1.41s/epoch, loss=191.5, lr=0.0001]
Training:   0%|          | 25/10000 [00:35<3:53:30,  1.40s/epoch, loss=191.5, lr=0.0001]
Training:   0%|          | 25/10000 [00:36<3:53:30,  1.40s/epoch, loss=176.5, lr=0.0001]
Training:   0%|          | 26/10000 [00:36<3:53:23,  1.40s/epoch, loss=176.5, lr=0.0001]
Training:   0%|          | 26/10000 [00:38<3:53:23,  1.40s/epoch, loss=171.1, lr=0.0001]
Training:   0%|          | 27/10000 [00:38<3:53:00,  1.40s/epoch, loss=171.1, lr=0.0001]
Training:   0%|          | 27/10000 [00:39<3:53:00,  1.40s/epoch, loss=161.7, lr=0.0001]
Training:   0%|          | 28/10000 [00:39<3:52:42,  1.40s/epoch, loss=161.7, lr=0.0001]
Training:   0%|          | 28/10000 [00:40<3:52:42,  1.40s/epoch, loss=143.7, lr=0.0001]
Training:   0%|          | 29/10000 [00:40<3:52:36,  1.40s/epoch, loss=143.7, lr=0.0001]
Training:   0%|          | 29/10000 [00:42<3:52:36,  1.40s/epoch, loss=138, lr=0.0001]  
Training:   0%|          | 30/10000 [00:42<3:52:19,  1.40s/epoch, loss=138, lr=0.0001]
Training:   0%|          | 30/10000 [00:43<3:52:19,  1.40s/epoch, loss=125.5, lr=0.0001]
Training:   0%|          | 31/10000 [00:43<3:51:16,  1.39s/epoch, loss=125.5, lr=0.0001]
Training:   0%|          | 31/10000 [00:45<3:51:16,  1.39s/epoch, loss=119.1, lr=0.0001]
Training:   0%|          | 32/10000 [00:45<3:55:57,  1.42s/epoch, loss=119.1, lr=0.0001]
Training:   0%|          | 32/10000 [00:46<3:55:57,  1.42s/epoch, loss=109.6, lr=0.0001]
Training:   0%|          | 33/10000 [00:46<3:54:49,  1.41s/epoch, loss=109.6, lr=0.0001]
Training:   0%|          | 33/10000 [00:47<3:54:49,  1.41s/epoch, loss=104.2, lr=0.0001]
Training:   0%|          | 34/10000 [00:48<3:53:57,  1.41s/epoch, loss=104.2, lr=0.0001]
Training:   0%|          | 34/10000 [00:49<3:53:57,  1.41s/epoch, loss=96.03, lr=0.0001]
Training:   0%|          | 35/10000 [00:49<3:53:39,  1.41s/epoch, loss=96.03, lr=0.0001]
Training:   0%|          | 35/10000 [00:50<3:53:39,  1.41s/epoch, loss=95.06, lr=0.0001]
Training:   0%|          | 36/10000 [00:50<3:54:28,  1.41s/epoch, loss=95.06, lr=0.0001]
Training:   0%|          | 36/10000 [00:52<3:54:28,  1.41s/epoch, loss=85.65, lr=0.0001]
Training:   0%|          | 37/10000 [00:52<3:56:22,  1.42s/epoch, loss=85.65, lr=0.0001]
Training:   0%|          | 37/10000 [00:53<3:56:22,  1.42s/epoch, loss=82.18, lr=0.0001]
Training:   0%|          | 38/10000 [00:53<3:54:47,  1.41s/epoch, loss=82.18, lr=0.0001]
Training:   0%|          | 38/10000 [00:54<3:54:47,  1.41s/epoch, loss=75.65, lr=0.0001]
Training:   0%|          | 39/10000 [00:55<3:54:00,  1.41s/epoch, loss=75.65, lr=0.0001]
Training:   0%|          | 39/10000 [00:56<3:54:00,  1.41s/epoch, loss=74.93, lr=0.0001]
Training:   0%|          | 40/10000 [00:56<3:52:46,  1.40s/epoch, loss=74.93, lr=0.0001]
Training:   0%|          | 40/10000 [00:57<3:52:46,  1.40s/epoch, loss=70.84, lr=0.0001]
Training:   0%|          | 41/10000 [00:57<3:52:08,  1.40s/epoch, loss=70.84, lr=0.0001]
Training:   0%|          | 41/10000 [00:59<3:52:08,  1.40s/epoch, loss=66.76, lr=0.0001]
Training:   0%|          | 42/10000 [00:59<4:04:23,  1.47s/epoch, loss=66.76, lr=0.0001]
Training:   0%|          | 42/10000 [01:00<4:04:23,  1.47s/epoch, loss=61.92, lr=0.0001]
Training:   0%|          | 43/10000 [01:00<4:01:01,  1.45s/epoch, loss=61.92, lr=0.0001]
Training:   0%|          | 43/10000 [01:02<4:01:01,  1.45s/epoch, loss=63.53, lr=0.0001]
Training:   0%|          | 44/10000 [01:02<3:53:32,  1.41s/epoch, loss=63.53, lr=0.0001]
Training:   0%|          | 44/10000 [01:03<3:53:32,  1.41s/epoch, loss=58.27, lr=0.0001]
Training:   0%|          | 45/10000 [01:03<3:53:04,  1.40s/epoch, loss=58.27, lr=0.0001]
Training:   0%|          | 45/10000 [01:04<3:53:04,  1.40s/epoch, loss=57.62, lr=0.0001]
Training:   0%|          | 46/10000 [01:05<3:53:10,  1.41s/epoch, loss=57.62, lr=0.0001]
Training:   0%|          | 46/10000 [01:06<3:53:10,  1.41s/epoch, loss=52.55, lr=0.0001]
Training:   0%|          | 47/10000 [01:06<3:53:17,  1.41s/epoch, loss=52.55, lr=0.0001]
Training:   0%|          | 47/10000 [01:07<3:53:17,  1.41s/epoch, loss=52.64, lr=0.0001]
Training:   0%|          | 48/10000 [01:07<3:47:50,  1.37s/epoch, loss=52.64, lr=0.0001]
Training:   0%|          | 48/10000 [01:08<3:47:50,  1.37s/epoch, loss=53.9, lr=0.0001] 
Training:   0%|          | 49/10000 [01:08<3:42:51,  1.34s/epoch, loss=53.9, lr=0.0001]
Training:   0%|          | 49/10000 [01:10<3:42:51,  1.34s/epoch, loss=46.78, lr=0.0001]
Training:   0%|          | 50/10000 [01:10<3:47:51,  1.37s/epoch, loss=46.78, lr=0.0001]
Training:   0%|          | 50/10000 [01:11<3:47:51,  1.37s/epoch, loss=50.26, lr=0.0001]
Training:   1%|          | 51/10000 [01:11<3:43:57,  1.35s/epoch, loss=50.26, lr=0.0001]
Training:   1%|          | 51/10000 [01:13<3:43:57,  1.35s/epoch, loss=45.54, lr=0.0001]
Training:   1%|          | 52/10000 [01:13<3:46:23,  1.37s/epoch, loss=45.54, lr=0.0001]
Training:   1%|          | 52/10000 [01:14<3:46:23,  1.37s/epoch, loss=46.18, lr=0.0001]
Training:   1%|          | 53/10000 [01:14<3:41:37,  1.34s/epoch, loss=46.18, lr=0.0001]
Training:   1%|          | 53/10000 [01:15<3:41:37,  1.34s/epoch, loss=43.74, lr=0.0001]
Training:   1%|          | 54/10000 [01:15<3:43:26,  1.35s/epoch, loss=43.74, lr=0.0001]
Training:   1%|          | 54/10000 [01:17<3:43:26,  1.35s/epoch, loss=41.87, lr=0.0001]
Training:   1%|          | 55/10000 [01:17<3:44:38,  1.36s/epoch, loss=41.87, lr=0.0001]
Training:   1%|          | 55/10000 [01:18<3:44:38,  1.36s/epoch, loss=41.7, lr=0.0001] 
Training:   1%|          | 56/10000 [01:18<3:47:51,  1.37s/epoch, loss=41.7, lr=0.0001]
Training:   1%|          | 56/10000 [01:19<3:47:51,  1.37s/epoch, loss=39.37, lr=0.0001]
Training:   1%|          | 57/10000 [01:19<3:47:33,  1.37s/epoch, loss=39.37, lr=0.0001]
Training:   1%|          | 57/10000 [01:21<3:47:33,  1.37s/epoch, loss=37.43, lr=0.0001]
Training:   1%|          | 58/10000 [01:21<3:50:03,  1.39s/epoch, loss=37.43, lr=0.0001]
Training:   1%|          | 58/10000 [01:22<3:50:03,  1.39s/epoch, loss=39.67, lr=0.0001]
Training:   1%|          | 59/10000 [01:22<3:43:55,  1.35s/epoch, loss=39.67, lr=0.0001]
Training:   1%|          | 59/10000 [01:23<3:43:55,  1.35s/epoch, loss=34.97, lr=0.0001]
Training:   1%|          | 60/10000 [01:24<3:45:56,  1.36s/epoch, loss=34.97, lr=0.0001]
Training:   1%|          | 60/10000 [01:25<3:45:56,  1.36s/epoch, loss=37.43, lr=0.0001]
Training:   1%|          | 61/10000 [01:25<3:42:31,  1.34s/epoch, loss=37.43, lr=0.0001]
Training:   1%|          | 61/10000 [01:26<3:42:31,  1.34s/epoch, loss=34.31, lr=0.0001]
Training:   1%|          | 62/10000 [01:26<3:45:00,  1.36s/epoch, loss=34.31, lr=0.0001]
Training:   1%|          | 62/10000 [01:27<3:45:00,  1.36s/epoch, loss=36.46, lr=0.0001]
Training:   1%|          | 63/10000 [01:27<3:40:13,  1.33s/epoch, loss=36.46, lr=0.0001]
Training:   1%|          | 63/10000 [01:29<3:40:13,  1.33s/epoch, loss=32.83, lr=0.0001]
Training:   1%|          | 64/10000 [01:29<3:41:25,  1.34s/epoch, loss=32.83, lr=0.0001]
Training:   1%|          | 64/10000 [01:30<3:41:25,  1.34s/epoch, loss=37.37, lr=0.0001]
Training:   1%|          | 65/10000 [01:30<3:38:23,  1.32s/epoch, loss=37.37, lr=0.0001]
Training:   1%|          | 65/10000 [01:31<3:38:23,  1.32s/epoch, loss=33.08, lr=0.0001]
Training:   1%|          | 66/10000 [01:31<3:34:36,  1.30s/epoch, loss=33.08, lr=0.0001]
Training:   1%|          | 66/10000 [01:33<3:34:36,  1.30s/epoch, loss=34.99, lr=0.0001]
Training:   1%|          | 67/10000 [01:33<3:32:26,  1.28s/epoch, loss=34.99, lr=0.0001]
Training:   1%|          | 67/10000 [01:34<3:32:26,  1.28s/epoch, loss=32.88, lr=0.0001]
Training:   1%|          | 68/10000 [01:34<3:30:58,  1.27s/epoch, loss=32.88, lr=0.0001]
Training:   1%|          | 68/10000 [01:35<3:30:58,  1.27s/epoch, loss=32.75, lr=0.0001]
Training:   1%|          | 69/10000 [01:35<3:35:42,  1.30s/epoch, loss=32.75, lr=0.0001]
Training:   1%|          | 69/10000 [01:36<3:35:42,  1.30s/epoch, loss=31.3, lr=0.0001] 
Training:   1%|          | 70/10000 [01:37<3:39:08,  1.32s/epoch, loss=31.3, lr=0.0001]
Training:   1%|          | 70/10000 [01:38<3:39:08,  1.32s/epoch, loss=32.14, lr=0.0001]
Training:   1%|          | 71/10000 [01:38<3:36:34,  1.31s/epoch, loss=32.14, lr=0.0001]
Training:   1%|          | 71/10000 [01:39<3:36:34,  1.31s/epoch, loss=29.43, lr=0.0001]
Training:   1%|          | 72/10000 [01:39<3:39:25,  1.33s/epoch, loss=29.43, lr=0.0001]
Training:   1%|          | 72/10000 [01:41<3:39:25,  1.33s/epoch, loss=31, lr=0.0001]   
Training:   1%|          | 73/10000 [01:41<3:37:35,  1.32s/epoch, loss=31, lr=0.0001]
Training:   1%|          | 73/10000 [01:42<3:37:35,  1.32s/epoch, loss=28.14, lr=0.0001]
Training:   1%|          | 74/10000 [01:42<3:41:17,  1.34s/epoch, loss=28.14, lr=0.0001]
Training:   1%|          | 74/10000 [01:43<3:41:17,  1.34s/epoch, loss=31.64, lr=0.0001]
Training:   1%|          | 75/10000 [01:43<3:37:46,  1.32s/epoch, loss=31.64, lr=0.0001]
Training:   1%|          | 75/10000 [01:44<3:37:46,  1.32s/epoch, loss=27.25, lr=0.0001]
Training:   1%|          | 76/10000 [01:45<3:42:05,  1.34s/epoch, loss=27.25, lr=0.0001]
Training:   1%|          | 76/10000 [01:46<3:42:05,  1.34s/epoch, loss=35.24, lr=0.0001]
Training:   1%|          | 77/10000 [01:46<3:38:34,  1.32s/epoch, loss=35.24, lr=0.0001]
Training:   1%|          | 77/10000 [01:47<3:38:34,  1.32s/epoch, loss=29.72, lr=0.0001]
Training:   1%|          | 78/10000 [01:47<3:36:10,  1.31s/epoch, loss=29.72, lr=0.0001]
Training:   1%|          | 78/10000 [01:48<3:36:10,  1.31s/epoch, loss=31.64, lr=0.0001]
Training:   1%|          | 79/10000 [01:48<3:35:15,  1.30s/epoch, loss=31.64, lr=0.0001]
Training:   1%|          | 79/10000 [01:50<3:35:15,  1.30s/epoch, loss=27.3, lr=0.0001] 
Training:   1%|          | 80/10000 [01:50<3:33:44,  1.29s/epoch, loss=27.3, lr=0.0001]
Training:   1%|          | 80/10000 [01:51<3:33:44,  1.29s/epoch, loss=31.91, lr=0.0001]
Training:   1%|          | 81/10000 [01:51<3:32:39,  1.29s/epoch, loss=31.91, lr=0.0001]
Training:   1%|          | 81/10000 [01:52<3:32:39,  1.29s/epoch, loss=28.5, lr=0.0001] 
Training:   1%|          | 82/10000 [01:52<3:32:11,  1.28s/epoch, loss=28.5, lr=0.0001]
Training:   1%|          | 82/10000 [01:54<3:32:11,  1.28s/epoch, loss=29.96, lr=0.0001]
Training:   1%|          | 83/10000 [01:54<3:31:41,  1.28s/epoch, loss=29.96, lr=0.0001]
Training:   1%|          | 83/10000 [01:55<3:31:41,  1.28s/epoch, loss=27.54, lr=0.0001]
Training:   1%|          | 84/10000 [01:55<3:31:30,  1.28s/epoch, loss=27.54, lr=0.0001]
Training:   1%|          | 84/10000 [01:56<3:31:30,  1.28s/epoch, loss=29.33, lr=0.0001]
Training:   1%|          | 85/10000 [01:56<3:31:53,  1.28s/epoch, loss=29.33, lr=0.0001]
Training:   1%|          | 85/10000 [01:57<3:31:53,  1.28s/epoch, loss=23.85, lr=0.0001]
Training:   1%|          | 86/10000 [01:57<3:36:50,  1.31s/epoch, loss=23.85, lr=0.0001]
Training:   1%|          | 86/10000 [01:59<3:36:50,  1.31s/epoch, loss=30.03, lr=0.0001]
Training:   1%|          | 87/10000 [01:59<3:35:44,  1.31s/epoch, loss=30.03, lr=0.0001]
Training:   1%|          | 87/10000 [02:00<3:35:44,  1.31s/epoch, loss=24.96, lr=0.0001]
Training:   1%|          | 88/10000 [02:00<3:34:05,  1.30s/epoch, loss=24.96, lr=0.0001]
Training:   1%|          | 88/10000 [02:01<3:34:05,  1.30s/epoch, loss=29.07, lr=0.0001]
Training:   1%|          | 89/10000 [02:01<3:33:09,  1.29s/epoch, loss=29.07, lr=0.0001]
Training:   1%|          | 89/10000 [02:03<3:33:09,  1.29s/epoch, loss=26.85, lr=0.0001]
Training:   1%|          | 90/10000 [02:03<3:32:39,  1.29s/epoch, loss=26.85, lr=0.0001]
Training:   1%|          | 90/10000 [02:04<3:32:39,  1.29s/epoch, loss=27.42, lr=0.0001]
Training:   1%|          | 91/10000 [02:04<3:32:27,  1.29s/epoch, loss=27.42, lr=0.0001]
Training:   1%|          | 91/10000 [02:05<3:32:27,  1.29s/epoch, loss=23.15, lr=0.0001]
Training:   1%|          | 92/10000 [02:05<3:36:00,  1.31s/epoch, loss=23.15, lr=0.0001]
Training:   1%|          | 92/10000 [02:07<3:36:00,  1.31s/epoch, loss=33.02, lr=0.0001]
Training:   1%|          | 93/10000 [02:07<3:34:57,  1.30s/epoch, loss=33.02, lr=0.0001]
Training:   1%|          | 93/10000 [02:08<3:34:57,  1.30s/epoch, loss=24.79, lr=0.0001]
Training:   1%|          | 94/10000 [02:08<3:33:22,  1.29s/epoch, loss=24.79, lr=0.0001]
Training:   1%|          | 94/10000 [02:09<3:33:22,  1.29s/epoch, loss=35.72, lr=0.0001]
Training:   1%|          | 95/10000 [02:09<3:34:32,  1.30s/epoch, loss=35.72, lr=0.0001]
Training:   1%|          | 95/10000 [02:10<3:34:32,  1.30s/epoch, loss=31.72, lr=0.0001]
Training:   1%|          | 96/10000 [02:10<3:33:32,  1.29s/epoch, loss=31.72, lr=0.0001]
Training:   1%|          | 96/10000 [02:12<3:33:32,  1.29s/epoch, loss=24.85, lr=0.0001]
